Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-05-04,71.22201538085938,65.90608215332031,428.1499938964844,71.35077640125569,65.98430505914773,428.5400085449219,69.56026644411233,64.56644077311196,414.8699951171875,70.25266368795357,65.17025470993144,417.7799987792969,133568000,30806000,7799100
2020-05-05,72.29096221923828,67.20736694335938,424.67999267578125,73.12669648649918,68.30289816133721,431.0,71.53782864635428,66.51040006859995,421.55999755859375,71.68359763047998,66.6334510131675,427.55999755859375,147751200,39666000,6286300
2020-05-06,73.03681182861328,67.02851867675781,434.260009765625,73.67089693622526,68.18731999160298,439.7699890136719,72.60922476151869,67.01357346407988,426.3900146484375,72.99550777203844,67.65475045457835,429.29998779296875,142333600,31732000,6660700
2020-05-07,73.7923583984375,68.21671295166016,436.5299987792969,74.13977654354584,68.5515055013109,438.8800048828125,73.3623469812468,67.38273810448287,430.6600036621094,73.66602924556396,67.81965374652499,436.8900146484375,115215200,30652000,5641900
2020-05-08,75.54875183105469,68.96699523925781,435.54998779296875,75.60234489642646,69.57977176792713,442.0,74.12610833613621,68.35272114857746,433.6400146484375,74.4549745357271,68.84145089097197,434.1400146484375,133838400,33326000,5049300
2020-05-11,76.73755645751953,69.92601013183594,440.5199890136719,77.23450234556246,70.52085390400352,444.8900146484375,74.84475212124161,68.52658789517999,435.55999755859375,75.05425503945568,68.59085382808611,436.3299865722656,145946400,32718000,5486000
2020-05-12,75.86056518554688,68.5106430053711,431.82000732421875,77.87760182453242,70.46106910899933,444.1700134277344,75.73876343818256,68.47726333946302,431.3599853515625,77.42449545855905,70.15667635511844,442.0,162301200,33918000,4598200
2020-05-13,74.94462585449219,67.17298126220703,438.2699890136719,76.96653965007208,69.01630496173733,447.0,73.86302556726389,66.16065230960501,427.2699890136719,76.04084175904602,68.5594573991325,435.69000244140625,200622400,40368000,7014600
2020-05-14,75.40502166748047,67.59795379638672,441.95001220703125,75.46592253617749,67.6233591363203,452.3800048828125,73.45375545548762,65.92601332371991,432.82000732421875,74.17969648666386,66.43516917592565,444.8999938964844,158929200,36660000,9007500
2020-05-15,74.95922088623047,68.40502166748047,454.19000244140625,75.00550613978024,68.48074356345606,455.0,73.13219488038561,66.70817007305355,437.510009765625,73.16630293423822,67.16950274056389,440.70001220703125,166348400,41544000,7244000
